title	description	start_date	end_date	link	image	category	location
Dark & Late Comedy Show	Dark is Bangalore`s only show which promotes dark jokes. Dark is a show where you get to hear jokes on topics you cannot imagine jokes being made on. These jokes will never come on Youtube...	-	-	https://in.bookmyshow.com/events/dark/ET00346778	-	comedy	1022, 1st floor, TAG Comedy Club, Besides Chai Nagri, 80 Feet Rd, 4th Block, S T Bed Layout, Koramangala, Bengaluru, Karnataka, India
Happy Hour Comedy Show	"🎭 Comedy Happy Hour 🎭Get ready for a laughter-packed evening! 😄 Join us for Comedy Happy Hour, where the only thing on the menu is pure, unfiltered joy. Our tagline says it all: ""We Serve Only..."	-	-	https://allevents.in/bangalore/happy-hour-comedy-show/3900027819465815	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHmMgJEhbm8S1L_5lVnsaZl436dElx6zV66-ApMF6upQ&s=10	comedy	2nd Floor, The Comedy Theatre : Church Street, Bangalore, Brigade Gardens, 205, Church St, above Indian Coffee House, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India
Brunchtime Comedy	Brunch Comedy Show is the perfect way to kickstart your weekend, with a heavy dose of comedy that keeps you full throughout the weekend. Also check out other Comedy events in Bangalore	-	-	https://allevents.in/bangalore/brunchtime-comedy/3900027909820656	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYKWwFn8ad9WEL9DgrHGM4DqgXX_o2t7k3DV-9yPqQFw&s=10	comedy	2nd Floor, The Comedy Theatre : Church Street, Bangalore, Brigade Gardens, 205, Church St, above Indian Coffee House, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India
Red Flags – A Stand Up Comedy Show 21st June 2025	Watch Red Flags: A Stand Up Comedy Show 2025 live at Wire Up comedy Club on 19 April at 7:30 PM. Laugh out loud with fresh takes and sharp humor.	21/06/1900 19:30	-	https://www.premiertickets.co/event/red-flags-a-stand-up-comedy-show-21st-june-2025/	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPmOND1WSQ40z7ThdohzGyPt8OU0kM2O8dx6WwBQdQzreKnZtUSUj4iCP4mw&s=10	comedy	Wireup Global Music Private Limited, 641, 80 Feet Rd, 4th Block, Koramangala, Bengaluru, Karnataka, India
It's A Comedy Show	The best stand up comedians in Bangalore come together to test and hone their content. The genre of comedy could be anything from light to dark, observational to anecdotal, offensive to mild. Also...	-	-	https://allevents.in/bangalore/its-a-comedy-show/3900027673670748	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfQPd1rss8Lnn35RSga_W6SQq-iJEvGIOTPxJN-DjDqg&s=10	comedy	545, Mon Cheri Resto-Cafe, jk horizon, Chinmaya Mission Hospital Rd, opposite Bank of Baroda, Indiranagar, Bengaluru, Karnataka, India
INAPPROPRIATE: A Dark & Dirty Comedy Show – 22nd June 2025	INAPPROPRIATE kicks off on 22 june, 8:30 PM at Wire Up Comedy Club. Unfiltered comedy and wild punchlines you’ll be quoting long after.	22/06/1900 20:30	-	https://www.premiertickets.co/event/inappropriate-a-dark-dirty-comedy-show-22nd-june-2025/	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-lKohQ2obY9Ie8eYvBiyBRyYLfeC2ToCY4l_KWE0HXHBnjuwBlUGMMr8TDw&s=10	comedy	Wireup Global Music Private Limited, 641, 80 Feet Rd, 4th Block, Koramangala, Bengaluru, Karnataka, India
Spoiler Alert - A Standup Comedy Solo by Anshu Mor	"Get ready to laugh and feel all the feels with Anshu Mor in his brand-new standup comedy solo show, ""Spoiler Alert!"" Join him with your family and friends as he explores the ups and downs of..."	-	-	https://allevents.in/bangalore/spoiler-alert-a-standup-comedy-solo-by-anshu-mor/3900027974274125	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoObGX_aCT_S3b85fctNBcxF96BQJXaLqzZa35PErX1A&s=10	comedy	3rd floor, #950, The Comedy Theatre - Indiranagar, Bangalore, Bayt Towers, 12th Main Rd, opposite to Araku Coffee, HAL, Indiranagar, Bengaluru, Karnataka, India
KARN-FESSIONS : A standup comedy solo show	Join KARN-FESSIONS, an IITian turned stand-up comedian`s solo show, for a night of brilliant laughs and sharp wit. With hilarious insights from the world of engineering and everyday life, he...	-	-	https://allevents.in/bangalore/karn-fessions-a-standup-comedy-solo-show/3900027866468542	-	comedy	Ministry Of Comedy, 1018, 80 Feet Rd, above Cream Stone, opp. Wooden Street, 4th Block, Koramangala, Bengaluru, Karnataka, India
Glen's Presents Brunchtime Comedy Special	Sunday Brunch Comedy – Kalyan Nagar | Glens Bakehouse A late sunday morning comedy show for the fine folks of Kalyan Nagar, perfectly paired with eggs, coffee, and a dash of mild chaos — all at...	-	-	https://allevents.in/bangalore/glens-presents-brunchtime-comedy-special/3900028233082556	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnUSK0Xj9XN3G50-1EoSLO1CdJZUTNxt8p4UQLg0Sg_w&s=10	comedy	Glens BakeHouse Kalyan Nagar, 426, 7th Main Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka, India
Mohit Morani Live - Stand Up Comedy Solo	Carefully crafted truth bombs, hoping they don’t expl*de on me	-	-	https://allevents.in/bangalore/mohit-morani-live-stand-up-comedy-solo/3900028018342813	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0CQyDzTjYEbqJyohtlUlksuksPRxUQWeObWaLE2l4xw&s=10	comedy	Building No.480, The Underground Comedy Club, KHB Colony, 5th Block, Bengaluru, Karnataka, India
